1.3.6.1.2.1.2.2.1.2  	# Interface descriptions (ifDescr)
1.3.6.1.2.1.2.2.1.3  	# Interface type (ifType)
1.3.6.1.2.1.2.2.1.4  	# Maximum transmission unit size (ifMtu)
1.3.6.1.2.1.2.2.1.5  	# Interface bandwidth (ifSpeed)
1.3.6.1.2.1.2.2.1.6  	# Physical address (MAC address) (ifPhysAddress)
1.3.6.1.2.1.2.2.1.7  	# Administrative status (ifAdminStatus)
1.3.6.1.2.1.2.2.1.8  	# Operational status (ifOperStatus)
1.3.6.1.2.1.2.2.1.9  	# Time since last change (ifLastChange)
1.3.6.1.2.1.25.1.6.0 	# System Processes
1.3.6.1.2.1.25.2.3.1.4 	# Storage Units
1.3.6.1.2.1.25.4.2.1.2 	# Running Programs
1.3.6.1.2.1.25.4.2.1.4 	# Processes Path
1.3.6.1.2.1.25.6.3.1.2 	# Software Name
1.3.6.1.2.1.6.13.1.3 	# TCP Local Ports
1.3.6.1.4.1.77.1.2.25 	# User Accounts
